BiCluster Id, Row Type, Array of Rows, Column Type, Array of Columns
15420,date,"1999,1996,",document,"FBI_20,CIA_10,"
15421,date,"13 December, 2004,20 September, 2004,21 November, 2004,19 December, 2004,",document,"FBI_41,FBI_40,"
15422,date,"2 April, 2003,1 April, 2003,",document,"CIA_07,FBI_01,"
15423,date,"1997,1999,",document,"FBI_20,DIA_01,"
15424,document,"FBI_23,FBI_18,CIA_33,",organization,"FBI,DIA,"
15425,document,"FBI_25,FBI_19,FBI_09,",organization,"FBI,God's Aryan Militia,"
15426,document,"FBI_20,FBI_18,FBI_31,",organization,"FBI,Detroit Utilities Co.,"
15427,document,"FBI_18,FBI_36,",organization,"DIA,Detroit Utilities Co.,"
15428,document,"FBI_28,FBI_26,",organization,"FBI,USCBP,"
15429,document,"CIA_10,CIA_32,",organization,"MI 5,Freeport Star Hotel,"
15430,document,"FBI_09,FBI_32,",organization,"God's Aryan Militia,TexEast Petroleum Co.,"
15431,document,"CIA_08,CIA_06,",organization,"Al Qaeda,Farooq training camp,"
15432,document,"CIA_16,FBI_34,",organization,"NSA,RCMP,Canada Eastern Airlines,"
15433,document,"CIA_22,CIA_21,",organization,"Moroccan Sands Hotel,Sahara Atlantic Hotel,"
15434,document,"FBI_23,FBI_05,",organization,"BailOut,Carolina First Bank,"
15435,document,"NSA_06,CIA_42,",person,"Omar Hanif,Muslih Odeh,"
15436,document,"CIA_26,CIA_10,CIA_43,CIA_42,",person,"Omar Hanif,Hanif,"
15437,document,"FBI_28,FBI_27,FBI_11,FBI_35,",person,"Adnan Hijazi,Hijazi,"
15438,document,"CIA_41,CIA_34,",person,"Pyotr Safrygin,Safrygin,"
15439,document,"CIA_16,FBI_36,FBI_34,FBI_31,",person,"Satam Derwish,Derwish,Ronald,"
15440,document,"FBI_36,FBI_34,FBI_31,",person,"Abdul al Nami,Satam Derwish,Derwish,Ronald,Satam,"
15441,document,"FBI_20,FBI_36,FBI_31,",person,"Abdul al Nami,al Nami,"
15442,document,"FBI_36,FBI_31,",person,"Abdul al Nami,al Nami,Satam Derwish,Derwish,Ronald,Satam,"
15443,document,"CIA_07,FBI_04,FBI_01,",person,"Abu Hafs,Mehdi Rafiki,"
15444,document,"FBI_23,FBI_31,",person,"Rifai Qasim,Abdul al Nami,"
15445,document,"CIA_17,CIA_36,CIA_31,",person,"Bugarov,Boris Bugarov,"
15446,document,"CIA_30,NSA_16,",person,"Jose Escalante,Carlos Morales,Arze,"
15447,document,"FBI_25,FBI_09,FBI_32,",person,"Khalid Shamrani,Shamrani,"
15448,document,"FBI_11,FBI_35,",person,"Adnan Hijazi,Hijazi,Mounir Mzoudi,"
15449,document,"CIA_11,CIA_06,",person,"Yasir Salman,Badawi,"
15450,document,"FBI_25,FBI_19,",person,"Billy Jack Hawkins,Slade Goodman,"
15451,document,"FBI_11,FBI_08,",person,"J. T.,A. H.,M. M.,"
15452,document,"CIA_07,FBI_01,",person,"Abdillah Zinedine,Abu Hafs,Mehdi Rafiki,Zinedine,"
15453,document,"FBI_23,FBI_05,",person,"Rifai Qasim,Omar Blakely,Muhammed Mustafa,Blakely,"
15454,document,"FBI_28,CIA_14,",person,"Ramundo Ortiz,Ortiz,"
15455,document,"FBI_19,FBI_13,",person,"Saeed al Nami,Riyad al Taifi,"
15456,document,"CIA_04,CIA_30,",person,"Jose Escalante,Escalante,"
15457,document,"FBI_03,DIA_03,",person,"Abu Somad,Yazid Bafaba,"
15458,document,"CIA_03,CIA_30,",person,"Arze,Cesar Arze,"
15459,document,"FBI_17,FBI_40,",person,"Muhammed Dandani,Dandani,"
15460,document,"CIA_27,CIA_38,",person,"Sufaat,Ali Sufaat,"
15461,document,"DIA_03,FBI_36,",person,"Abdul al Nami,Khaled Jehani,"
15462,document,"FBI_14,FBI_10,",person,"Wali Shakur,Ahmed Doha,Abu Ayyash,Doha,Ayyash,"
15463,document,"CIA_42,CIA_32,",person,"Muslih Odeh,Odeh,"
15464,document,"FBI_41,FBI_35,",person,"Wali Shakur,Mounir Mzoudi,Hamza al Midhar,Mamoun Zammar,"
15465,document,"CIA_13,FBI_03,",person,"Riduan Sungkar,Omar Evertts,"
15466,document,"FBI_40,FBI_35,",person,"Muhammed Dandani,Said Khadr,"
15467,document,"FBI_26,CIA_33,",person,"Abdul Nasser,Ali al-Omari,"
15468,document,"CIA_12,CIA_39,",person,"Abdellah Atmani,Atmani,"
15469,document,"CIA_26,FBI_14,",place,"USA,Pakistan,"
15470,document,"FBI_19,FBI_38,FBI_37,CIA_36,",place,"USA,Cuba,"
15471,document,"NSA_10,NSA_02,CIA_16,FBI_08,FBI_07,CIA_07,FBI_02,CIA_02,FBI_01,DIA_03,FBI_36,FBI_34,",place,"USA,Canada,"
15472,document,"FBI_22,FBI_21,CIA_12,CIA_10,FBI_07,CIA_07,DIA_03,DIA_01,",place,"USA,Afghanistan,"
15473,document,"CIA_08,DIA_02,",place,"Pakistan,Afghanistan,"
15474,document,"FBI_07,CIA_07,DIA_03,",place,"USA,Canada,Afghanistan,"
15475,document,"FBI_19,FBI_13,FBI_10,FBI_38,FBI_37,",place,"USA,Columbia,"
15476,document,"FBI_19,CIA_04,CIA_03,FBI_38,FBI_37,NSA_16,",place,"Cuba,Columbia,"
15477,document,"CIA_27,NSA_20,",place,"Cuba,Bahamas,"
15478,document,"FBI_26,FBI_25,FBI_19,FBI_13,FBI_09,FBI_06,FBI_04,FBI_38,FBI_37,USCBP_01,FBI_33,FBI_32,",place,"USA,Texas,"
15479,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Detroit,Michigan,"
15480,document,"FBI_23,FBI_22,FBI_20,FBI_18,CIA_16,FBI_11,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"USA,Detroit,Michigan,"
15481,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,FBI_31,",place,"Canada,Detroit,Michigan,"
15482,document,"CIA_16,FBI_08,CIA_02,DIA_03,FBI_36,FBI_34,",place,"USA,Canada,Detroit,Michigan,"
15483,document,"FBI_22,DIA_03,",place,"USA,Detroit,Michigan,Afghanistan,"
15484,document,"FBI_19,FBI_13,NSA_21,FBI_38,FBI_37,NSA_19,NSA_17,NSA_13,NSA_12,",place,"Mexico,Columbia,"
15485,document,"FBI_19,FBI_13,FBI_38,FBI_37,USCBP_01,",place,"USA,Texas,Mexico,"
15486,document,"FBI_19,FBI_13,FBI_38,FBI_37,",place,"USA,Texas,Mexico,Columbia,"
15487,document,"CIA_26,CIA_24,FBI_21,NSA_06,CIA_10,FBI_02,CIA_43,CIA_42,FBI_41,FBI_40,NSA_20,CIA_38,",place,"Bahamas,Nassau,"
15488,document,"CIA_26,FBI_21,CIA_10,FBI_02,FBI_41,FBI_40,",place,"USA,Bahamas,Nassau,"
15489,document,"CIA_26,NSA_06,NSA_20,",place,"Pakistan,Bahamas,Nassau,"
15490,document,"CIA_25,CIA_21,CIA_17,CIA_14,CIA_04,CIA_03,NSA_22,NSA_20,CIA_36,CIA_30,NSA_18,NSA_16,",place,"Cuba,Havana,"
15491,document,"CIA_14,NSA_20,NSA_18,",place,"Pakistan,Cuba,Havana,"
15492,document,"CIA_04,CIA_03,NSA_16,",place,"Cuba,Havana,Columbia,"
15493,document,"CIA_28,CIA_12,FBI_36,FBI_34,",place,"USA,Morocco,"
15494,document,"FBI_28,CIA_22,NSA_08,CIA_15,CIA_08,NSA_20,NSA_18,",place,"Peshawar,Pakistan,"
15495,document,"CIA_19,CIA_08,",place,"Peshawar,Afghanistan,"
15496,document,"FBI_27,CIA_16,FBI_14,FBI_11,FBI_10,FBI_03,FBI_02,USCBP_02,FBI_35,",place,"USA,New Jersey,"
15497,document,"CIA_16,FBI_02,",place,"USA,Canada,New Jersey,"
15498,document,"CIA_26,FBI_22,FBI_21,CIA_10,FBI_08,FBI_06,FBI_02,CIA_02,",place,"USA,UK,"
15499,document,"FBI_22,FBI_21,CIA_10,",place,"USA,UK,Afghanistan,"
15500,document,"CIA_26,FBI_21,CIA_10,FBI_02,",place,"USA,Bahamas,Nassau,UK,"
15501,document,"FBI_21,CIA_10,",place,"USA,Bahamas,Nassau,UK,Afghanistan,"
15502,document,"NSA_02,CIA_16,CIA_13,FBI_12,CIA_10,FBI_09,CIA_07,FBI_06,FBI_04,",place,"USA,Chicago,Illinois,"
15503,document,"NSA_02,CIA_16,CIA_07,",place,"USA,Canada,Chicago,Illinois,"
15504,document,"CIA_10,CIA_07,",place,"USA,Afghanistan,Chicago,Illinois,"
15505,document,"FBI_09,FBI_06,FBI_04,",place,"USA,Texas,Chicago,Illinois,"
15506,document,"DIA_01,CIA_36,",place,"USA,Russia,"
15507,document,"CIA_22,NSA_08,NSA_05,",place,"Casablanca,Pakistan,"
15508,document,"CIA_21,NSA_22,",place,"Casablanca,Cuba,Havana,"
15509,document,"CIA_28,NSA_09,NSA_08,NSA_05,CIA_12,NSA_22,CIA_39,",place,"Morocco,Casablanca,"
15510,document,"CIA_28,CIA_12,",place,"USA,Morocco,Casablanca,"
15511,document,"CIA_22,NSA_08,",place,"Casablanca,Peshawar,Pakistan,"
15512,document,"CIA_28,NSA_09,CIA_39,",place,"Santo Domingo,Morocco,Casablanca,"
15513,document,"NSA_05,CIA_17,CIA_05,CIA_01,NSA_22,CIA_36,CIA_34,CIA_31,",place,"Moscow,Russia,"
15514,document,"CIA_17,NSA_22,CIA_36,CIA_31,",place,"Cuba,Moscow,Russia,"
15515,document,"CIA_17,NSA_22,CIA_36,",place,"Cuba,Havana,Moscow,Russia,"
